foa_id,title,agency,source,open_date,close_date,eligibility,description,award_min,award_max,source_url,tags_research_domains,tags_methods,tags_populations,tags_sponsor_themes,ingested_at
nsf-2449121,Collaborative Research: RUI: Evaluating the Impacts of Toxic Dust from the Great Salt Lake on Agriculture and Ecosystems,NSF,nsf,2026-09-01T00:00:00,2029-08-31T00:00:00,,"The Great Salt Lake (GSL) is vital to Utah’s economy, contributing over $1 billion annually through mineral extraction, brine shrimp harvesting, and recreation. However, the lake has reached historically low water levels due to upstream water diversions for agriculture, industry, and municipalities. As the lake shrinks, the newly exposed lakebed is emitting wind-blown dust containing harmful heavy metals like arsenic and lead—byproducts of past industrial activity. This toxic dust threatens public health, agriculture, and ecosystems, with risks that extend far beyond the lake itself. This project will shed light on the role that dust plays in depositing heavy metals into ecosystems and onto important crops including corn and alfalfa. As metals accumulate in plants, they may ascend the food chain into livestock, predators, and ultimately humans, with a variety of negative health outcomes. Therefore, the results of this study will have direct implications for the health of ecosystems and",480175.0,480175.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2449121,Public Health,,Children & Youth | Older Adults,,2026-03-02T12:47:32.340586+00:00
nsf-2449122,Collaborative Research: RUI: Evaluating the Impacts of Toxic Dust from the Great Salt Lake on Agriculture and Ecosystems,NSF,nsf,2026-09-01T00:00:00,2029-08-31T00:00:00,,"The Great Salt Lake (GSL) is vital to Utah’s economy, contributing over $1 billion annually through mineral extraction, brine shrimp harvesting, and recreation. However, the lake has reached historically low water levels due to upstream water diversions for agriculture, industry, and municipalities. As the lake shrinks, the newly exposed lakebed is emitting wind-blown dust containing harmful heavy metals like arsenic and lead—byproducts of past industrial activity. This toxic dust threatens public health, agriculture, and ecosystems, with risks that extend far beyond the lake itself. This project will shed light on the role that dust plays in depositing heavy metals into ecosystems and onto important crops including corn and alfalfa. As metals accumulate in plants, they may ascend the food chain into livestock, predators, and ultimately humans, with a variety of negative health outcomes. Therefore, the results of this study will have direct implications for the health of ecosystems and",154191.0,154191.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2449122,Public Health,,Children & Youth | Older Adults,,2026-03-02T12:47:32.339562+00:00
nsf-2449123,Collaborative Research: RUI: Evaluating the Impacts of Toxic Dust from the Great Salt Lake on Agriculture and Ecosystems,NSF,nsf,2026-09-01T00:00:00,2029-08-31T00:00:00,,"The Great Salt Lake (GSL) is vital to Utah’s economy, contributing over $1 billion annually through mineral extraction, brine shrimp harvesting, and recreation. However, the lake has reached historically low water levels due to upstream water diversions for agriculture, industry, and municipalities. As the lake shrinks, the newly exposed lakebed is emitting wind-blown dust containing harmful heavy metals like arsenic and lead—byproducts of past industrial activity. This toxic dust threatens public health, agriculture, and ecosystems, with risks that extend far beyond the lake itself. This project will shed light on the role that dust plays in depositing heavy metals into ecosystems and onto important crops including corn and alfalfa. As metals accumulate in plants, they may ascend the food chain into livestock, predators, and ultimately humans, with a variety of negative health outcomes. Therefore, the results of this study will have direct implications for the health of ecosystems and",263663.0,263663.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2449123,Public Health,,Children & Youth | Older Adults,,2026-03-02T12:47:32.340972+00:00
nsf-2507640,Postdoctoral Fellowship: PRFB: The Role of Plant Immunity in Driving Maize Microbe-Dependent Heterosis,NSF,nsf,2026-08-15T00:00:00,2029-07-31T00:00:00,,"This action funds an NSF Postdoctoral Research Fellowship in Biology for FY 2025. The fellowship supports research and training of the fellow that will contribute to biology in innovative ways. Hybrids dominate commercial crop production because crosses between pure lines produce offspring with characteristcs that result in better yields. This phenomenon is called hybrid vigor or heterosis. Heterosis is influenced by various factors, including the microbes (microbiome) that associate with the root tissue, although the exact mechanisms remain unclear. The fellow will use maize pure lines and hybrids to investigate how immune responses to microbes differ between the plants. Immune responses are important for initial recognition of microbes and for plant defense. Learning more about how hybrid immunity plays a role in plant health will inform crop protection strategies and offer new methods for integrating microbiome science into sustainable agriculture. Additionally, this project include",270000.0,270000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2507640,Education Research | Environmental Science,Genomics / Bioinformatics,,Convergence Research | National Security | Workforce Development,2026-03-02T12:47:32.341080+00:00
nsf-2507847,Postdoctoral Fellowship: PRFB: Using the introduced parrots of southern California as a model system for studying evolutionary response to a rapid shift in environmental conditions,NSF,nsf,2026-09-01T00:00:00,2029-08-31T00:00:00,,"This action funds an NSF Postdoctoral Research Fellowship in Biology for FY 2025. The fellowship supports research and training of the fellow that will contribute to biology in innovative ways. A fundamental goal of evolutionary biology is to understand how organisms adapt and change in response to their environments. But this is challenging to study in nature because most organisms we observe today have been evolving gradually in concert with their environmental conditions for thousands to millions of years. To work around this challenge the fellow will use the wild population of parrots (genus Amazona) in southern California, which descend from pet birds released within the last 70 years, as a natural experiment. This natural experiment will reveal how quickly bird populations are able to adapt to new environments and reveal the physical and genetic changes that help them to survive and thrive alongside humans in urban areas. Members of the local southern California community can pla",270000.0,270000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2507847,,Experimental Research,,Workforce Development,2026-03-02T12:47:32.340832+00:00
nsf-2507852,"Postdoctoral Fellowship: PRFB: Testing a role for interspecific interactions in signal evolution, speciation, and sympatry in birds",NSF,nsf,2026-08-15T00:00:00,2029-07-31T00:00:00,,"This action funds an NSF Postdoctoral Research Fellowship in Biology for FY 2025. The fellowship supports research and training of the fellow that will contribute to biology in innovative ways. In tropical areas with thousands of species, many different birds coexist in the same environment. These species often look remarkably different, exhibiting a variety of colors and patterns that distinguish them to human viewers and to one another. Plumage colors act as species-specific “identifiers” which enable birds to recognize and choose mates from their own species instead of others. This mate choice allows different birds to coexist in the same place as distinct species. The project explores the evolutionary history and genetic basis of vibrant plumage coloration in one group of tropical birds (tanagers), to understand species formation and coexistence. Simultaneously, the fellow will contribute to the growth and modernization of natural history museums by developing exhibits on bird colo",270000.0,270000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2507852,,Genomics / Bioinformatics,,Workforce Development,2026-03-02T12:47:32.341299+00:00
nsf-2508114,Postdoctoral Fellowship: PRFB: Mapping the Bumblebee Social Network Across Levels of Organization,NSF,nsf,2026-09-01T00:00:00,2029-08-31T00:00:00,,"This action funds an NSF Postdoctoral Research Fellowship in Biology for FY 2025. The fellowship supports research and training of the fellow that will contribute to biology in innovative ways. Effective information processing is crucial for species to respond appropriately to their environment, particularly in social species like humans that integrate a wide range of individual experiences into collective responses. Theoretical models that are grounded in real world observations are needed to explain and predict patterns of social communication across species. This research addresses this need by using the common eastern bumblebee (Bombus impatiens) to trace the flow of nutritional information throughout the colony. Bumblebee colonies are an optimal model to test key hypotheses in social communication due to their complex social behaviors and ease with which they can be manipulated for study. This research will leverage this model, integrating methods in behavioral ecology and deep-le",270000.0,270000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2508114,Environmental Science | Mathematics,,Older Adults,Workforce Development,2026-03-02T12:47:32.340710+00:00
nsf-2517022,Gel Electromicrofluidics Assisted In Situ Single Cell Analysis,NSF,nsf,2026-07-01T00:00:00,2029-06-30T00:00:00,,"Analyzing single cells under a microscope is a powerful tool in healthcare, medicine, and homeland security. Typically, biological samples are spread onto glass slides for microscopic examination to detect pathogens or identify biowarfare agents. Current single-cell imaging systems use high-resolution microscopy, which captures only a small sample volume, resulting in limited sensitivity. This project will develop a gel electromicrofluidics (GEM) platform that enhances single-cell imaging by amplifying small, hard-to-detect cells into large, bright fluorescent spots. The technology will improve both sensitivity and throughput, enabling rapid and accurate disease diagnostics. The research will be integrated across several educational fronts, including student-designed projects, graduate program development, undergraduate research opportunities, and outreach programs. This research will establish a GEM-assisted platform, which incorporates sensing gel, electromicrofluidics, and electroki",450000.0,450000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2517022,Materials Science,,Older Adults,National Security,2026-03-02T12:47:37.486125+00:00
nsf-2517708,"Postdoctoral Fellowship: EAR-PF: Reconstructing and Modeling Hydrology, Vegetation, and Ocean Temperatures at the Mio-Pliocene Re-Flooding of the Mediterranean",NSF,nsf,2026-07-01T00:00:00,2028-06-30T00:00:00,,"Six million years ago (6 Ma), during the late Miocene epoch, tectonic activity closed the Mediterranean Sea. During this “Messinian Salinity Crisis (MSC),” the Mediterranean dried up, becoming a warm, windy desert around isolated brackish lakes. At the end of the Crisis (5.3 Ma), the Straits of Gibraltar opened, rapidly reflooding the Mediterranean, reconnecting it with the Atlantic and establishing present-day geography and circulation. The MSC’s effects on the hydrologic budget and plant species of Mediterranean Europe and Africa as well as Atlantic Ocean temperatures are still largely unknown. Using the MSC as a “natural laboratory,” this postdoctoral fellowship project will investigate what happens to the surrounding environment when 4 million cubic kilometers of water evaporates, then returns. This will improve our understanding of water resources in arid environments and regional-scale responses of plant communities to changes in rainfall and temperature, helping the U.S. predict",334990.0,334990.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2517708,Environmental Science | Mathematics,,,Workforce Development,2026-03-02T12:47:37.486329+00:00
nsf-2527972,Social Mobility through ARkansas Tech program,NSF,nsf,2026-07-01T00:00:00,2032-06-30T00:00:00,,"This project will contribute to the national need for well-educated scientists, mathematicians, engineers, and technicians by supporting the retention and graduation of high-achieving, low-income students with demonstrated financial need at Arkansas Tech University. A total of 40 scholars pursuing Bachelor of Science in Computer Science, Cybersecurity, Mathematics, Physics, Engineering Physics, Computer Engineering, Electrical Engineering, and Mechanical Engineering will receive scholarships averaging $7,000 for up to five years. Scholars will receive faculty mentoring and the project will build strong scholar cohorts through a living learning community, social and networking opportunities, and events that promote family and community involvement. Additional activities for scholars include research internships, micro-internships, and career shadowing. The overall goal of this Track 1 Scholarships in STEM project is to increase STEM degree completion of academically talented, low-income",2000000.0,2000000.0,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2527972,Artificial Intelligence | Cybersecurity | Engineering | Materials Science | Mathematics,,Older Adults | Underserved Communities,,2026-03-02T12:47:32.342744+00:00
